geoid,over_65,total
06073017601,1290,2118
12009065202,1290,2426
12011110351,1290,1871
12095017504,1290,3457
12111381204,1290,1900
26017285201,1290,2830
36029009008,1290,2274
39155932701,1290,3097
06065042745,1289,2433
12115002306,1289,1727
06055201200,1288,1975
45013010400,1288,2321
48029182102,1288,4177
25023545400,1287,2563
34017015802,1287,2535
36061012800,1287,2382
36061014900,1287,2880
42011010304,1287,2416
04013420202,1286,2635
04025001202,1286,1928
10003016610,1286,3203
12015030201,1285,2506
12069031319,1285,2173
41017001200,1285,3335
45043920506,1285,1770
24005402604,1284,2277
04015951501,1283,2167
06059062649,1283,1866
12099007740,1283,2790
25027708100,1283,3275
06089012603,1282,1980
34021003009,1282,3089
35001003719,1282,2960
42081011100,1282,2735
47065010431,1282,2928
36081033404,1281,2743
12115000802,1280,1541
39017015000,1280,2638
06073008324,1279,2994
12061050505,1279,1772
39133600302,1279,2921
47165020501,1279,3938
48201543007,1279,6609
18039001802,1278,2700
37019020102,1278,2927
12061050706,1277,2584
34035053501,1277,2440
41053020500,1277,2713
47165021203,1277,3641
17089850707,1276,3522
36047049100,1275,2663
51069050500,1274,2375
36081084500,1273,2117
39155930900,1273,3154
01003010904,1272,2913
24005402603,1271,2588
36119000801,1271,2244
49035113010,1271,2634
55139001803,1271,3148
06029005203,1270,2067
06075030900,1270,2310
34029731203,1270,1417
34039037000,1270,2629
41019160002,1270,2020
42011013000,1270,2718
06061021325,1269,3239
36059300902,1269,2337
36047061002,1268,2565
36061025300,1268,4072
42101035500,1268,3025
06097153006,1267,2843
12089050308,1267,3198
42091201004,1267,2527
12097042300,1266,3244
25023508101,1266,2874
32003005501,1266,2081
48491020119,1266,1511
12071010415,1265,1862
17031320101,1265,5481
12101031804,1264,1747
04013216849,1263,2560
12009071354,1263,2581
12085001703,1263,1998
42071011705,1263,2975
45019004609,1262,3757
01003011419,1261,2353
04013615300,1261,1452
12057014014,1261,1357
12127091016,1261,2755
36061006300,1261,3379
36085013800,1261,2484
20045000602,1260,2888
25001010900,1260,2461
36081088902,1260,2684
41029002200,1260,2516
51810043005,1260,1543
55073001300,1260,3002
12071020102,1259,1996
39155931000,1259,2616
08013013208,1257,2529
10005050808,1257,2208
12011010402,1257,2017
12115002507,1257,2471
17031820204,1257,2347
37049961003,1257,2926
41017000603,1257,2018
04019004051,1256,2144
06073017808,1256,2288
42043024700,1256,2863
06037403316,1255,2654
12039020101,1255,2085
12099000408,1255,1870
34005702908,1255,2083
42041011806,1255,2407
12011060105,1254,2985
12055961000,1254,2117
17097866200,1254,2310
48339690701,1254,3199
34029722100,1253,2206
39153531002,1253,2534
42091206006,1253,1707
01101002600,1252,2390
12009061001,1252,2787
12069031106,1252,1391
12085000300,1252,2968
12103027330,1252,1506
12115002004,1252,2259
36061015501,1252,2982
06073018512,1251,2006
17031831600,1251,2576
39007001102,1251,2658
47065010411,1251,3081
12071001602,1250,1792
12071001705,1250,2263
17031802608,1250,2896
12015030302,1249,1583
12103024413,1249,2630
12103025015,1249,1738
04013420209,1248,2089
06041110200,1248,2059
12081001911,1248,2860
12091021102,1248,3108
25013813205,1247,3157
34025810600,1247,2445
06075015500,1246,2250
09120072600,1246,3278
25027726200,1246,2681
37045950400,1246,2943
12001001803,1245,2866
12031014601,1245,2518
12099007006,1245,2225
12103027331,1245,1723
12115002724,1245,1329
36061023000,1245,3888
36081079701,1245,2955
36103169701,1245,3193
06061020601,1244,2551
12099004810,1244,2349
23027042000,1244,3006
34017005400,1244,3376
39025040500,1244,2856
04025000619,1243,2078
37113970600,1243,3029
39113040303,1243,2310
53031950604,1243,1931
48085031807,1242,2095
06059110604,1241,2783
06073017059,1241,1614
25025140400,1241,3105
25027719100,1241,3283
12071050318,1240,2665
16021970100,1240,2689
36061015002,1240,2182
36103112219,1240,1606
06041103100,1239,2619
06059052430,1239,5477
25023509102,1239,2719
45013002102,1239,2813
12001001100,1238,3063
12011091601,1238,2139
12083002705,1237,2233
21093001200,1237,2696
39035186107,1237,2656
45041001400,1237,3351
12083000901,1236,2834
17001001100,1236,3242
27053024400,1236,2336
34029717200,1236,3729
16075960302,1235,3091
42029307000,1235,2171
06013363000,1234,2728
09170184101,1234,2877
12035060208,1234,3598
12081002003,1234,3101
12127090202,1234,2399
18011810605,1234,3180
35001003723,1234,3285
41029001500,1234,2270
06065043824,1233,2090
09110400300,1233,2969
12011040502,1233,2126
36087012800,1233,2448
37063001604,1233,2860
04021002001,1232,2299
06065045228,1232,2290
12055960503,1232,2176
25001014500,1232,2466
37055970601,1232,2851
39099811002,1232,2749
06013359202,1230,2391
12021010213,1230,1938
12101031902,1230,3368
04025002001,1229,2854
10003013501,1229,2626
13051011006,1229,1843
47065011321,1229,3077
04013050619,1228,3373
21227011401,1228,3300
34001010900,1228,2519
36061017100,1228,4073
36067014700,1228,2522
36081101700,1228,2413
41005022800,1228,1909
48039662200,1228,3063
50007003101,1228,3570
06017030812,1227,2353
06065041915,1227,2947
06067005404,1227,2882
06099003907,1227,2923
12103026914,1227,2048
17031808301,1227,2642
23031037000,1227,2832
04019004723,1226,2403
12019030707,1226,2926
17031802300,1226,2658
06079012705,1225,2503
19193002102,1225,2985
34025811102,1225,2367
36005029302,1225,2595
42125771100,1225,2332
56029965302,1225,1950
04015953604,1224,2888
08077001002,1224,3517
12111381701,1224,1428
34023006604,1224,2834
36061009800,1224,4585
37089930703,1224,2582
06065042741,1223,1483
18059410302,1223,3378
22103040708,1223,2393
25017316300,1223,3685
36005042600,1223,2367
53029971000,1223,2376
72031050403,1223,2189
06073008310,1222,2395
12105012131,1222,1604
36067015100,1222,2664
42007601801,1222,1719
42091206801,1222,2828
04013103210,1221,3712
09110520400,1221,2963
12033001101,1221,2620
34029720107,1221,1519
34035054301,1221,1538
04013216857,1220,2324
12105011502,1220,3567
55009020704,1220,3802
06075032700,1219,2414
30111001404,1219,4263
37145920200,1219,2492
37151030700,1219,2528
42017100210,1219,2632
12021010111,1218,1566
25023544200,1218,2587
06001428302,1217,2489
08031003901,1217,2853
12009071345,1217,2860
12071001708,1217,1993
12127082606,1217,1750
17097863902,1217,2955
34007603400,1216,3114
34029720106,1216,1642
41053020202,1216,2991
04025000502,1215,1741
06065043304,1215,2995
12083000810,1215,1618
18089042401,1215,2652
25003913100,1215,2277
41033360800,1215,2200
10005050806,1214,2039
16075960100,1214,2554
06111006400,1213,2617
12103024002,1213,2880
36001014203,1213,2617
37159051101,1213,3017
06041107000,1212,2421
06085506900,1212,2809
06095252313,1212,2042
48339694304,1212,1795
12053041303,1211,1313
47189030907,1211,2749
